id,name,type,age,function,representation,position
VfB,Verein fuer Bewegungsspiele Stuttgart,2,NA,NA,NA,NA
Hitzlsberger,Thomas Hitzlsberger,1,38,V,"Sport, Unternehmensstrategie und Kommunikation",Vorstandsvorsitzender
